method,env_id,variant_index,reward,hits,false_alarms,scanned_true_active,total_active_opportunities,overall_pd,scanned_pd,pfa,total_episodes,detected_episodes,interception_rate,mean_delay,median_delay,p90_delay,fairness_jain,min_scan_share,max_scan_share,max_min_scan_ratio,scan_b0,scan_b1,scan_b2,scan_b3,scan_b4
Round_Robin,68074,6,144.57342590004205,135,4,161,913,0.14786418400876233,0.8385093167701864,0.011799410029498525,202,111,0.5495049504950495,2.108108108108108,2.0,4.0,1.0,0.2,0.2,1.0,100,100,100,100,100
V73_Causal_DQN,68075,7,133.65217651605582,139,5,183,913,0.15224534501642936,0.7595628415300546,0.015772870662460567,204,83,0.4068627450980392,1.8795180722891567,1.0,4.799999999999997,0.9511128019783146,0.16,0.288,1.8,93,144,80,96,87
V70_DQN,68075,7,119.80907789856164,125,5,166,913,0.13691128148959475,0.7530120481927711,0.014970059880239521,204,83,0.4068627450980392,1.891566265060241,1.0,4.0,0.9169600938967136,0.13,0.302,2.3230769230769233,113,151,65,93,78
V65_DQN,68075,7,152.05549196198604,159,4,202,913,0.1741511500547645,0.7871287128712872,0.013422818791946308,204,79,0.3872549019607843,2.0632911392405062,1.0,6.0,0.8876264867743654,0.098,0.296,3.020408163265306,92,131,80,148,49
Old_Scalable_DQN,68075,7,159.49089073717613,163,5,212,913,0.17853231106243153,0.7688679245283019,0.017361111111111112,204,92,0.45098039215686275,1.7608695652173914,1.0,4.900000000000006,0.9204712812960235,0.094,0.26,2.765957446808511,113,91,130,119,47
Random,68075,7,126.89010860636796,127,4,157,913,0.13910186199342825,0.8089171974522293,0.011661807580174927,204,89,0.4362745098039216,1.9325842696629214,1.0,5.0,0.998043834085193,0.188,0.212,1.127659574468085,99,106,97,94,104
Round_Robin,68075,7,132.44080424115037,126,4,159,913,0.1380065717415115,0.7924528301886793,0.011730205278592375,204,97,0.47549019607843135,1.824742268041237,1.0,4.0,1.0,0.2,0.2,1.0,100,100,100,100,100
V73_Causal_DQN,68076,8,163.69628416284948,168,2,226,913,0.18400876232201532,0.7433628318584071,0.0072992700729927005,202,103,0.5099009900990099,1.9611650485436893,1.0,5.0,0.8896480552293513,0.146,0.336,2.3013698630136985,98,168,73,87,74
V70_DQN,68076,8,183.3219478008157,190,3,237,913,0.20810514786418402,0.8016877637130801,0.011406844106463879,202,109,0.5396039603960396,1.688073394495413,1.0,4.0,0.83004083800923,0.132,0.376,2.8484848484848486,96,188,81,66,69
V65_DQN,68076,8,163.89038139671098,168,2,209,913,0.18400876232201532,0.8038277511961722,0.006872852233676976,202,94,0.46534653465346537,1.9680851063829787,1.0,5.0,0.8791363364630587,0.116,0.334,2.8793103448275863,81,167,86,108,58
Old_Scalable_DQN,68076,8,153.1366938589512,154,3,196,913,0.1686746987951807,0.7857142857142857,0.009868421052631578,202,86,0.42574257425742573,1.6627906976744187,1.0,4.0,0.9515472157728466,0.112,0.24,2.142857142857143,111,105,120,108,56
Random,68076,8,156.2313106027247,153,3,190,913,0.16757940854326397,0.8052631578947368,0.00967741935483871,202,112,0.5544554455445545,1.7767857142857142,1.0,4.0,0.998043834085193,0.188,0.212,1.127659574468085,99,106,97,94,104
